W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
8,3,0.3,0.1,False,11548,8834,162,0.43788940809968846,3510.4484291194285
8,3,0.4,0.02,False,15694,4678,172,0.23607866043613707,3510.4484291194285
8,3,0.4,0.05,False,15716,4656,172,0.23500778816199377,3510.4484291194285
8,3,0.4,0.1,False,15735,4637,172,0.23408294392523366,3510.4484291194285
8,3,0.5,0.02,False,17957,2420,167,0.12592484423676012,3510.4484291194285
8,3,0.5,0.05,False,17967,2410,167,0.12543808411214954,3510.4484291194285
8,3,0.5,0.1,False,17976,2401,167,0.125,3510.4484291194285
8,3,0.6,0.02,False,19348,1047,149,0.05821651090342679,3510.4484291194285
8,3,0.6,0.05,False,19348,1047,149,0.05821651090342679,3510.4484291194285
8,3,0.6,0.1,False,19350,1045,149,0.058119158878504676,3510.4484291194285
8,3,0.7,0.02,False,19970,430,144,0.027940031152647975,3510.4484291194285
8,3,0.7,0.05,False,19970,430,144,0.027940031152647975,3510.4484291194285
8,3,0.7,0.1,False,19970,430,144,0.027940031152647975,3510.4484291194285
8,4,0.3,0.02,False,11862,8520,162,0.42260514018691586,3510.4484291194285
8,4,0.3,0.05,False,11934,8448,162,0.4191004672897196,3510.4484291194285
8,4,0.3,0.1,False,12004,8378,162,0.4156931464174455,3510.4484291194285
8,4,0.4,0.02,False,15968,4404,172,0.22274143302180685,3510.4484291194285
8,4,0.4,0.05,False,15996,4376,172,0.2213785046728972,3510.4484291194285
8,4,0.4,0.1,False,16017,4355,172,0.22035630841121495,3510.4484291194285
8,4,0.5,0.02,False,18079,2298,167,0.1199863707165109,3510.4484291194285
8,4,0.5,0.05,True,18087,2290,167,0.11959696261682243,3510.4484291194285
8,4,0.5,0.1,False,18096,2281,167,0.1191588785046729,3510.4484291194285
8,4,0.6,0.02,False,19397,998,149,0.05583138629283489,3510.4484291194285
8,4,0.6,0.05,False,19397,998,149,0.05583138629283489,3510.4484291194285
8,4,0.6,0.1,False,19399,996,149,0.05573403426791277,3510.4484291194285
8,4,0.7,0.02,False,19977,423,144,0.027599299065420562,3510.4484291194285
8,4,0.7,0.05,False,19977,423,144,0.027599299065420562,3510.4484291194285
8,4,0.7,0.1,False,19977,423,144,0.027599299065420562,3510.4484291194285
8,6,0.3,0.02,False,12188,8194,162,0.4067367601246106,3510.4484291194285
8,6,0.3,0.05,False,12262,8120,162,0.4031347352024922,3510.4484291194285
8,6,0.3,0.1,False,12333,8049,162,0.399678738317757,3510.4484291194285
8,6,0.4,0.02,False,16094,4278,172,0.2166082554517134,3510.4484291194285
8,6,0.4,0.05,False,16122,4250,172,0.21524532710280375,3510.4484291194285
8,6,0.4,0.1,False,16143,4229,172,0.2142231308411215,3510.4484291194285
8,6,0.5,0.02,False,18125,2252,167,0.11774727414330217,3510.4484291194285
8,6,0.5,0.05,False,18133,2244,167,0.1173578660436137,3510.4484291194285
8,6,0.5,0.1,False,18142,2235,167,0.11691978193146417,3510.4484291194285
8,6,0.6,0.02,False,19410,985,149,0.055198598130841124,3510.4484291194285
8,6,0.6,0.05,False,19410,985,149,0.055198598130841124,3510.4484291194285
8,6,0.6,0.1,False,19412,983,149,0.055101246105919,3510.4484291194285
8,6,0.7,0.02,False,19981,419,144,0.027404595015576325,3510.4484291194285
8,6,0.7,0.05,False,19981,419,144,0.027404595015576325,3510.4484291194285
8,6,0.7,0.1,False,19981,419,144,0.027404595015576325,3510.4484291194285
12,2,0.3,0.02,False,10488,9894,162,0.4894859813084112,3510.4484291194285
12,2,0.3,0.05,False,10547,9836,161,0.4866140965732087,3510.4484291194285
12,2,0.3,0.1,False,10636,9747,161,0.4822819314641745,3510.4484291194285
12,2,0.4,0.02,False,14908,5464,172,0.2743380062305296,3510.4484291194285
12,2,0.4,0.05,False,14939,5432,173,0.2728290498442368,3510.4484291194285
