query_id,iteration,est_rows,actual_rows,latency_ms,plan_hash
29b,1,0,2445,30.821,6869a92e97ae
29c,1,0,69744,36.870,f9d797e41fe3
2a,1,97,148552,13.086,39f0d0f484d7
2b,1,97,148552,12.629,39f0d0f484d7
2c,1,97,148552,9.746,39f0d0f484d7
2d,1,97,148552,14.804,39f0d0f484d7
30a,1,24425,459891,47.834,2fb1ac092548
30b,1,24425,459891,33.426,2fb1ac092548
30c,1,5,643428,65.415,504d1a3df7d6
31a,1,24425,459917,57.507,803f2f4cc6a9
31b,1,24425,459917,42.094,af6c9af9a4d7
31c,1,727,574510,69.361,fa6c4a99dc35
32a,1,2,0,4.553,fcae748d00ff
32b,1,2,4388,8.691,fcae748d00ff
33a,1,79,1085,10.585,9f38072768ba
33b,1,286,1053,14.567,a222d4411d07
33c,1,79,1505,12.962,5451bf091399
3a,1,14835720,98257,34.078,1c6d8b5e72c9
3b,1,6,920,19.321,458d550a03dc
3c,1,14835720,230761,30.619,1c6d8b5e72c9
4a,1,3264,697651,33.953,78ff902e0195
4b,1,3264,1070,9.266,78ff902e0195
4c,1,3264,2012691,47.431,78ff902e0195
5a,1,14835720,9568203,59.572,57cab5af281c
5b,1,42522,0,25.603,51e96691fc5d
5c,1,122987,105501,28.106,57cab5af281c
6a,1,313,1224,28.402,15b8934625a1
6b,1,134170,134170,16.182,1e2fd2d73ac5
6c,1,313,33,20.510,15b8934625a1
6d,1,134170,134170,27.961,1e2fd2d73ac5
6e,1,313,1224,27.532,15b8934625a1
6f,1,4244265,785477,77.133,ed1105c0e7aa
7a,1,0,3354,16.073,53392dd98fc5
7b,1,1,353,10.431,28991ba0bc98
7c,1,161,1618081,310.459,71bdf14f0ae7
8a,1,31,34848,19.551,4abe9140a8c4
8b,1,31,34848,17.919,5e9e2f722df0
8c,1,6146,2487611,96.381,54331408ea7e
8d,1,14860,1153798,42.467,54331408ea7e
9a,1,2972,542096,48.272,c8c34baefbd9
9b,1,31,222685,30.481,8bcae6a2265a
9c,1,14860,1153798,44.354,ba725b9addca
9d,1,14860,1153798,72.296,ba725b9addca
10a,2,14860,8790,18.325,44a967c74d67
10b,2,14860,8790,15.293,44a967c74d67
10c,2,14860,1153798,63.779,7e685bcc9edc
11a,2,0,1021,9.403,632bd70cc404
11b,2,69,46,7.985,205cd3ed49ed
11c,2,284,780776,50.827,6feb0d65dbeb
11d,2,284,3200479,144.657,6feb0d65dbeb
12a,2,4885,15849,11.984,b699bd12391d
12b,2,14860,1153798,22.330,cd5c763aa0ea
12c,2,4885,121571,15.456,b699bd12391d
13a,2,0,111101,12.411,42979f59602e
13b,2,14860,1153798,26.106,2c9867674c1c
13c,2,14860,1153798,24.164,2c9867674c1c
13d,2,0,670390,31.457,42979f59602e
14a,2,14835720,944600,23.195,e2aa25e14fb8
14b,2,14835720,406787,15.294,e2aa25e14fb8
14c,2,8,460150,32.636,a7016ff135a5
15a,2,2972,43837,24.713,4af322ef9151
15b,2,4,278,25.537,db33821289ea
15c,2,14860,1153657,42.121,0c996e607097
15d,2,14860,1153657,48.002,0c996e607097
16a,2,69,41838,26.912,1ae6b16c91d2
16b,2,2,3710592,145.828,1bbf0e60165a
16c,2,0,319932,44.968,1ae6b16c91d2
16d,2,0,249455,38.831,1ae6b16c91d2
17a,2,9,2832555,58.273,fdb785b0d2d2
17b,2,1632,7796926,74.514,fdb785b0d2d2
17c,2,1632,7796926,72.683,fdb785b0d2d2
17d,2,1632,7796926,77.308,b824dfd0f6e5
17e,2,11,2832555,60.160,cb3c4bd9b419
17f,2,1632,7796926,91.392,b824dfd0f6e5
18a,2,24425,459925,52.221,f402880b8e0a
18b,2,36244344,66565,37.946,10fa4f929d65
18c,2,36244344,2804962,53.271,d84f6643c5fd
19a,2,2972,542096,57.948,774febfee11f
19b,2,31,222685,33.311,c1de965f0291
