queryId,warehouseId,databaseId,createdTime,endTime,durationTotal,durationExec,durationControlPlane,durationCompiling,compilationTime,scheduleTime,serverCount,execTime,warehouseSize,perServerCores,persistentReadBytesS3,persistentReadRequestsS3,persistentReadBytesCache,persistentReadRequestsCache,persistentWriteBytesCache,persistentWriteRequestsCache,persistentWriteBytesS3,persistentWriteRequestsS3,intDataWriteBytesLocalSSD,intDataWriteRequestsLocalSSD,intDataReadBytesLocalSSD,intDataReadRequestsLocalSSD,intDataWriteBytesS3,intDataWriteRequestsS3,intDataReadBytesS3,intDataReadRequestsS3,intDataWriteBytesUncompressed,ioRemoteExternalReadBytes,ioRemoteExternalReadRequests,intDataNetReceivedBytes,intDataNetSentBytes,intDataNetSentRequests,intDataNetSentBytesUncompressed,producedRows,returnedRows,fileStolenCount,remoteSeqScanFileOps,localSeqScanFileOps,localWriteFileOps,remoteSkipScanFileOps,remoteWriteFileOps,filesCreated,scanAssignedBytes,scanAssignedFiles,scanBytes,scanFiles,scanOriginalFiles,userCpuTime,systemCpuTime,profIdle,profCpu,profPersistentReadCache,profPersistentWriteCache,profPersistentReadS3,profPersistentWriteS3,profIntDataReadLocalSSD,profIntDataWriteLocalSSD,profIntDataReadS3,profIntDataWriteS3,profRemoteExtRead,profRemoteExtWrite,profResWriteS3,profFsMeta,profDataExchangeNet,profDataExchangeMsg,profControlPlaneMsg,profOs,profMutex,profSetup,profSetupMesh,profTeardown,profScanRso,profXtScanRso,profProjRso,profSortRso,profFilterRso,profResRso,profDmlRso,profHjRso,profBufRso,profFlatRso,profBloomRso,profAggRso,profBandRso,profPercentileRso,profUdtfRso,memoryUsed
5371760338612980172,7891774171123969424,7097937327349925659,2018-03-02 14:34:53.813000+00:00,2018-03-02 14:35:59.399000+00:00,65586,6152,482,2132,2132,65,2,6152,2,8,5770240,18,9432224,29,20717824,50,14946304,16,0,0,0,0,0,0,0,0,0,0,0,1672396,1672396,360,3388200,22831,1,0,0,0,26,18,16,16,16001536,18,16001536,18,29214,5920000,1900000,5926,27462,12,0,69,482,0,0,0,0,0,0,0,0,0,799,24,34,91,0,0,0,4631,0,49,316,0,0,26215,0,0,0,0,0,0,0,0,4235117545
2514796517741884756,7891774171123969424,7097937327349925659,2018-03-02 14:40:21.900000+00:00,2018-03-02 14:40:41.404000+00:00,20314,901,1165,129,129,29,2,901,2,8,0,0,0,0,145408,2,145408,2,0,0,0,0,0,0,0,0,0,238255,63,43596,43596,30,57090,1017,1,1,63,0,2,0,2,2,238255,63,238255,63,0,530000,180000,359,49,0,0,0,24,0,0,0,0,973,0,0,0,0,0,234,0,0,0,0,0,0,1260,0,0,0,0,242,0,0,0,0,0,0,0,0,93206400
2057289728770815787,7891774171123969424,7097937327349925659,2018-03-02 14:40:07.977000+00:00,2018-03-02 14:40:08.792000+00:00,815,251,423,97,97,8,1,251,2,1,0,0,0,0,2048,1,2048,1,0,0,0,0,0,0,0,0,0,861,1,0,0,0,0,1,1,0,1,0,1,0,1,1,861,1,861,1,0,60000,70000,175,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,99,0,0,0,0,0,0,0,0,39538928
7846176278525462698,7891774171123969424,7097937327349925659,2018-03-02 14:33:23.607000+00:00,2018-03-02 14:34:18.963000+00:00,55356,1197,297,2414,2414,27,2,1197,2,8,407040,7,1648640,20,2401440,24,1994240,16,0,0,0,0,0,0,0,0,0,0,0,117931,117931,138,378462,16482,1,0,0,0,22,7,16,16,2057728,20,2057728,20,40,1090000,420000,1221,1053,0,0,24,185,0,0,0,0,0,0,0,0,0,0,24,0,0,102,0,0,673,0,0,0,0,0,951,0,0,0,0,0,0,0,0,619102976
8297039185441927484,7891774171123969424,7097937327349925659,2018-03-02 14:34:32.250000+00:00,2018-03-02 14:35:38.236000+00:00,66211,2841,473,1663,1663,29,2,2841,2,8,3335680,15,524288,13,7126144,36,3789824,16,0,0,0,0,0,0,0,0,0,0,0,120127,120127,206,301914,23343,1,0,0,0,27,15,16,16,3860992,20,3860992,20,81,1320000,350000,4401,1494,0,0,237,110,0,0,0,0,0,0,0,0,0,48,36,0,37,0,0,0,1570,0,0,0,0,0,1682,0,0,0,0,0,0,0,0,747100224
246623133075952819,7891774171123969424,7097937327349925659,2018-03-02 14:32:56.977000+00:00,2018-03-02 14:33:32.254000+00:00,35277,900,499,84,84,63,2,900,2,8,0,0,0,0,32256,2,32256,2,0,0,0,0,0,0,0,0,0,45413,17,39165,39165,22,54738,116,1,0,17,0,2,0,2,2,45413,17,45413,17,0,440000,130000,781,12,0,0,0,24,0,0,0,0,771,0,0,0,0,0,36,0,0,0,0,0,0,1018,0,0,0,0,297,0,0,0,0,0,0,0,0,82835328
1359535956551502608,7891774171123969424,7097937327349925659,2018-03-02 14:34:54.670000+00:00,2018-03-02 14:35:54.979000+00:00,60912,3256,224,1512,1512,74,1,3256,2,2,2057216,5,2392736,12,5324608,11,3267072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12194,1,0,0,0,4,5,2,2,9194496,4,9194496,4,109473,1680000,190000,2333,452,0,0,12,49,0,0,0,0,0,0,0,15,0,297,0,0,37,0,0,0,842,0,0,132,0,0,909,0,0,0,0,0,0,0,0,780883008
6501936006769260733,7891774171123969424,7097937327349925659,2018-03-02 14:31:25.698000+00:00,2018-03-02 14:32:02.852000+00:00,37154,836,357,75,75,71,2,836,2,4,0,0,0,0,17408,1,17408,1,0,0,0,0,0,0,0,0,0,13735,5,64499,64499,28,153042,14,1,0,5,0,1,0,1,1,13735,5,13735,5,0,260000,110000,1280,52,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,298,0,0,0,0,0,0,0,0,136049088
3485726289669602785,7891774171123969424,7097937327349925659,2018-03-02 14:31:01.694000+00:00,2018-03-02 14:31:42.620000+00:00,40368,2094,798,107,107,66,2,2094,2,8,0,0,0,0,285696,2,285696,2,0,0,0,0,0,0,0,0,0,440029,32,49316,49316,38,59442,972,1,0,32,0,2,0,2,2,440029,32,440029,32,0,590000,160000,2772,74,0,0,0,12,0,0,0,0,1071,0,0,0,0,0,110,0,0,0,0,0,0,2184,0,0,0,0,558,0,0,0,0,0,0,0,0,111375264
3147549740373108828,7891774171123969424,7097937327349925659,2018-03-02 14:31:28.139000+00:00,2018-03-02 14:32:07.510000+00:00,39371,813,796,93,93,44,2,813,2,8,0,0,0,0,61440,2,61440,2,0,0,0,0,0,0,0,0,0,60254,17,41188,41188,22,54738,423,1,1,17,0,2,0,2,2,60254,17,60254,17,0,430000,170000,606,51,0,0,0,24,0,0,0,0,650,0,0,0,0,0,24,0,52,0,0,0,0,914,0,0,0,0,297,0,0,0,0,99,0,0,0,80631680
