t,phi_true,phi_mean,phi_freqonly,phi_dsfb,err_mean,err_freqonly,err_dsfb,w2,s2
1.380000,0.651097,0.764838,0.730387,0.733447,0.113741,0.079290,0.082350,0.493111,0.073479
1.390000,0.655504,0.651426,0.691546,0.695701,0.004077,0.036042,0.040197,0.506093,0.071427
1.400000,0.659907,0.760878,0.726811,0.730761,0.100972,0.066905,0.070854,0.499500,0.073047
1.410000,0.664308,0.701046,0.714562,0.719159,0.036738,0.050254,0.054852,0.504433,0.075919
1.420000,0.668706,0.729050,0.722426,0.726932,0.060344,0.053720,0.058226,0.503511,0.076936
1.430000,0.673101,0.754317,0.738998,0.743148,0.081216,0.065897,0.070047,0.500198,0.077658
1.440000,0.677494,0.801543,0.770912,0.774185,0.124049,0.093418,0.096691,0.492715,0.081120
1.450000,0.681883,0.730661,0.751459,0.754963,0.048779,0.069576,0.073081,0.499887,0.077455
1.460000,0.686268,0.747479,0.750121,0.753862,0.061211,0.063853,0.067595,0.501661,0.076527
1.470000,0.690649,0.739799,0.745609,0.749867,0.049150,0.054960,0.059218,0.504219,0.077912
1.480000,0.695025,0.760092,0.753493,0.757846,0.065067,0.058469,0.062822,0.503253,0.079805
1.490000,0.699395,0.850297,0.802545,0.806525,0.150901,0.103150,0.107130,0.498350,0.081904
1.500000,0.703759,0.770179,0.787060,0.791272,0.066420,0.083301,0.087513,0.504140,0.080154
1.510000,0.708114,0.729040,0.758730,0.763794,0.020925,0.050616,0.055680,0.513187,0.076970
1.520000,0.712461,0.754632,0.757332,0.762233,0.042171,0.044871,0.049772,0.514663,0.074182
1.530000,0.716797,0.792051,0.775340,0.780331,0.075253,0.058542,0.063533,0.510510,0.075017
1.540000,0.721125,0.809325,0.792998,0.797283,0.088200,0.071873,0.076158,0.510836,0.072220
1.550000,0.725442,0.826400,0.810380,0.815102,0.100958,0.084938,0.089660,0.506811,0.075252
1.560000,0.729747,0.742714,0.777244,0.783019,0.012967,0.047497,0.053272,0.517303,0.072179
1.570000,0.734041,0.810660,0.794615,0.800844,0.076619,0.060574,0.066804,0.513128,0.075453
1.580000,0.738323,0.919485,0.857729,0.862707,0.181163,0.119406,0.124384,0.500392,0.081713
1.590000,0.742594,0.765744,0.812477,0.818288,0.023150,0.069883,0.075694,0.514318,0.077754
1.600000,0.746855,0.814049,0.813957,0.820123,0.067194,0.067102,0.073268,0.514811,0.078259
1.610000,0.751105,0.900966,0.858155,0.863419,0.149860,0.107050,0.112314,0.506569,0.080898
1.620000,0.755347,0.827332,0.843481,0.848793,0.071985,0.088134,0.093446,0.511891,0.078438
1.630000,0.759580,0.812983,0.828952,0.835216,0.053403,0.069372,0.075636,0.516775,0.077830
1.640000,0.763805,0.780612,0.805487,0.811646,0.016807,0.041682,0.047841,0.523226,0.074294
1.650000,0.768021,0.847932,0.827389,0.833659,0.079911,0.059368,0.065638,0.517805,0.076038
1.660000,0.772231,0.814716,0.821753,0.827578,0.042486,0.049522,0.055348,0.520412,0.073219
1.670000,0.776433,0.906243,0.864691,0.870184,0.129810,0.088258,0.093752,0.509178,0.077514
1.680000,0.780629,0.891296,0.878729,0.883553,0.110667,0.098099,0.102924,0.506567,0.076614
1.690000,0.784821,0.928185,0.904204,0.908459,0.143364,0.119383,0.123638,0.500713,0.078551
1.700000,0.789007,0.896347,0.901047,0.905332,0.107340,0.112040,0.116325,0.503048,0.079892
1.710000,0.793187,0.873157,0.887868,0.892019,0.079969,0.094681,0.098831,0.507289,0.076203
1.720000,0.797361,0.887197,0.888285,0.892835,0.089836,0.090924,0.095475,0.508293,0.076111
1.730000,0.801527,0.868220,0.879003,0.883777,0.066693,0.077476,0.082251,0.512084,0.073822
1.740000,0.805687,0.936054,0.908269,0.913093,0.130367,0.102581,0.107406,0.504765,0.079490
1.750000,0.809841,0.917628,0.913716,0.918246,0.107788,0.103876,0.108405,0.504607,0.079290
1.760000,0.813988,0.943539,0.929399,0.933608,0.129550,0.115411,0.119620,0.501568,0.082115
1.770000,0.818130,0.856398,0.893685,0.899025,0.038268,0.075555,0.080895,0.512634,0.079737
1.780000,0.822266,0.901781,0.898481,0.903859,0.079515,0.076216,0.081593,0.512333,0.079489
1.790000,0.826396,0.896856,0.898420,0.903751,0.070460,0.072024,0.077355,0.513413,0.078224
1.800000,0.830520,0.983256,0.941589,0.946268,0.152736,0.111068,0.115747,0.502558,0.083196
1.810000,0.834638,0.929908,0.936541,0.941113,0.095271,0.101903,0.106475,0.505330,0.082534
1.820000,0.838748,0.912663,0.925387,0.930694,0.073915,0.086639,0.091946,0.509474,0.083477
1.830000,0.842851,0.958352,0.942642,0.947777,0.115502,0.099792,0.104926,0.505914,0.086702
1.840000,0.846946,0.941378,0.942799,0.947805,0.094432,0.095853,0.100859,0.507114,0.086735
1.850000,0.851031,0.959647,0.952010,0.956728,0.108615,0.100978,0.105697,0.505872,0.086853
1.860000,0.855107,0.932980,0.943290,0.948225,0.077874,0.088183,0.093118,0.509382,0.085588
1.870000,0.859174,0.979918,0.962388,0.966882,0.120744,0.103215,0.107709,0.505436,0.085411
1.880000,0.863233,0.993770,0.978881,0.983015,0.130537,0.115648,0.119782,0.502260,0.085890
1.890000,0.867284,0.998532,0.989523,0.993336,0.131248,0.122239,0.126052,0.500758,0.083987
1.900000,0.871329,0.945270,0.968222,0.972731,0.073941,0.096893,0.101402,0.507870,0.082771
1.910000,0.875366,0.931647,0.950737,0.955706,0.056281,0.075371,0.080340,0.513731,0.079980
1.920000,0.879395,1.020662,0.986483,0.990992,0.141266,0.107088,0.111597,0.506200,0.081529
1.930000,0.883415,0.965894,0.977007,0.981723,0.082479,0.093591,0.098308,0.510012,0.079728
1.940000,0.887427,1.060056,1.019338,1.023357,0.172629,0.131911,0.135931,0.499517,0.083539
1.950000,0.891430,0.947414,0.984223,0.988552,0.055984,0.092793,0.097122,0.508980,0.079955
1.960000,0.895425,1.023002,1.004423,1.008739,0.127577,0.108998,0.113314,0.504491,0.082516
1.970000,0.899411,1.061918,1.034000,1.037623,0.162507,0.134589,0.138212,0.497742,0.085779
1.980000,0.903388,0.998755,1.017234,1.020992,0.095366,0.113846,0.117604,0.503814,0.082696
1.990000,0.907357,0.947490,0.983201,0.988787,0.040133,0.075844,0.081430,0.514061,0.081829
2.000000,0.911319,1.061648,1.023228,1.028024,0.150330,0.111909,0.116706,0.504300,0.084875
2.010000,0.915273,1.080142,1.052526,1.056315,0.164869,0.137253,0.141042,0.497799,0.089521
2.020000,0.919220,1.008889,1.031576,1.035720,0.089669,0.112357,0.116501,0.504828,0.088387
2.030000,0.923159,0.967976,1.000623,1.005949,0.044818,0.077464,0.082790,0.514068,0.085958
2.040000,0.927090,1.058680,1.030465,1.035470,0.131590,0.103375,0.108380,0.507118,0.088779
2.050000,0.931014,1.055314,1.043731,1.048291,0.124300,0.112717,0.117277,0.504839,0.089138
2.060000,0.934932,1.023901,1.034670,1.039602,0.088969,0.099737,0.104670,0.508388,0.089121
2.070000,0.938842,1.042561,1.039458,1.044217,0.103719,0.100616,0.105375,0.508267,0.088404
2.080000,0.942744,1.044361,1.042756,1.047423,0.101617,0.100011,0.104678,0.508526,0.087453
2.090000,0.946638,1.073835,1.059143,1.063440,0.127197,0.112505,0.116803,0.505338,0.087084
2.100000,0.950521,1.040362,1.050614,1.055363,0.089841,0.100093,0.104842,0.508739,0.086777
2.110000,0.954394,1.084937,1.068628,1.073314,0.130543,0.114233,0.118919,0.505013,0.090319
2.120000,0.958258,1.041061,1.055713,1.060770,0.082803,0.097454,0.102512,0.509559,0.089553
2.130000,0.962114,1.079102,1.068261,1.072876,0.116988,0.106147,0.110762,0.507418,0.088762
2.140000,0.965960,1.129116,1.099553,1.103533,0.163157,0.133593,0.137574,0.500359,0.092199
2.150000,0.969797,1.063862,1.082601,1.086976,0.094065,0.112804,0.117179,0.506105,0.091531
2.160000,0.973627,1.073633,1.078992,1.083509,0.100007,0.105366,0.109882,0.508183,0.090323
2.170000,0.977449,1.071579,1.076155,1.081044,0.094130,0.098707,0.103595,0.509940,0.090020
2.180000,0.981263,1.117414,1.097650,1.102403,0.136151,0.116387,0.121140,0.505347,0.093511
2.190000,0.985069,1.083468,1.091444,1.095816,0.098399,0.106375,0.110747,0.508244,0.089924
2.200000,0.988867,1.129580,1.111389,1.115418,0.140714,0.122522,0.126551,0.504147,0.089616
2.210000,0.992657,1.077564,1.095372,1.100586,0.084907,0.102714,0.107928,0.509352,0.091484
2.220000,0.996441,1.054429,1.075778,1.082741,0.057988,0.079337,0.086300,0.515099,0.093450
2.230000,1.000217,1.094474,1.085982,1.092751,0.094257,0.085765,0.092533,0.513405,0.095380
2.240000,1.003987,1.108949,1.098330,1.104955,0.104962,0.094343,0.100968,0.511206,0.098476
2.250000,1.007749,1.097209,1.098645,1.105894,0.089460,0.090895,0.098144,0.511937,0.102701
2.260000,1.011503,1.148235,1.124313,1.130227,0.136732,0.112810,0.118724,0.506849,0.104475
2.270000,1.015246,1.152329,1.139219,1.144723,0.137083,0.123973,0.129477,0.504324,0.111136
2.280000,1.018980,1.108358,1.124699,1.130060,0.089378,0.105719,0.111080,0.508962,0.109192
2.290000,1.022705,1.101932,1.114210,1.120358,0.079228,0.091505,0.097653,0.512282,0.109736
2.300000,1.026422,1.157280,1.136627,1.142071,0.130857,0.110205,0.115649,0.507979,0.110773
2.310000,1.030132,1.149377,1.143905,1.148783,0.119245,0.113773,0.118651,0.507369,0.109256
2.320000,1.033835,1.167892,1.156807,1.161726,0.134057,0.122972,0.127891,0.505263,0.113082
2.330000,1.037533,1.130821,1.144733,1.149603,0.093288,0.107201,0.112070,0.509219,0.110169
2.340000,1.041225,1.162669,1.154607,1.159946,0.121444,0.113382,0.118721,0.507705,0.113726
2.350000,1.044913,1.193171,1.174803,1.179556,0.148259,0.129890,0.134643,0.504055,0.115810
2.360000,1.048596,1.102611,1.139639,1.144500,0.054015,0.091043,0.095904,0.512454,0.110418
2.370000,1.052275,1.183881,1.162655,1.167828,0.131606,0.110379,0.115553,0.507772,0.114223
