depth_m,well,TQA,SWOB,RPM,HKLD,SPPA,baseline_TQA,baseline_SWOB,baseline_RPM,baseline_HKLD,baseline_SPPA
1238.5,Equinor-Volve-15/9-F-15,3.86408115274449,-5.3823481544652045,30.0,1203.9556623864069,5889.98431283494,0.244047230699652,20.65086884884687,0.0,1150.2656274902126,235.524909134631
1239.0,Equinor-Volve-15/9-F-15,4.39285015259374,-6.094063612906885,29.0,1204.0891090348648,5812.62513600559,0.244047230699652,20.63974829480872,0.0,1150.2656274902126,235.524909134631
1239.5,Equinor-Volve-15/9-F-15,4.39285015259374,-5.337865938312599,29.0,1204.6673778448485,5812.62513600559,0.244047230699652,20.617507186732414,0.0,1150.3101097063652,235.524909134631
1240.0,Equinor-Volve-15/9-F-15,4.18947746034403,-6.160786937135791,29.0,1203.9779034944831,5571.58442103642,0.244047230699652,20.59526607865611,0.0,1150.3545919225178,235.524909134631
1240.5,Equinor-Volve-15/9-F-15,4.20303563982734,-6.894743503653774,29.0,1204.5339311963908,5676.59157461138,0.25082632044130904,20.57302497057981,0.0,1150.3545919225178,236.1454372910165
1241.0,Equinor-Volve-15/9-F-15,4.21659381931066,-5.426830370617809,29.0,1204.4004845479328,5729.06067761239,0.257605410182966,20.550783862503508,0.0,1150.3545919225178,236.765965447402
1241.5,Equinor-Volve-15/9-F-15,3.80984843481124,-6.805779071348564,29.0,1203.9556623864069,5748.29705046033,0.257605410182966,20.506301646350902,0.0,1150.3545919225178,236.765965447402
1242.0,Equinor-Volve-15/9-F-15,3.80984843481124,-5.893893640220162,29.0,1203.9111801702543,5748.29705046033,0.257605410182966,20.461819430198297,0.0,1150.3545919225178,236.765965447402
1242.5,Equinor-Volve-15/9-F-15,4.21659381931066,-5.738205883686044,30.0,1203.9556623864069,5668.73155129716,0.264384499924623,20.439578322121996,0.0,1150.3990741386706,236.765965447402
1243.0,Equinor-Volve-15/9-F-15,4.21659381931066,-6.538885774432934,30.0,1203.15498249566,5668.73155129716,0.27116358966628,20.417337214045695,0.0,1150.4435563548232,236.765965447402
1243.5,Equinor-Volve-15/9-F-15,4.10134929370249,-5.96061696444907,30.0,1204.0223857106357,5793.5956058764405,0.27116358966628,20.37285499789309,0.0,1150.4657974628994,237.2141246714575
1244.0,Equinor-Volve-15/9-F-15,3.98610476809432,-6.0050991806016745,30.0,1202.710160334134,5918.45966045572,0.27116358966628,20.328372781740484,0.0,1150.4880385709757,237.662283895513
1244.5,Equinor-Volve-15/9-F-15,3.93187205016106,-4.581668263718315,30.0,1203.599804657186,5793.80244859524,0.27116358966628,20.28389056558788,0.0,1150.4880385709757,237.662283895513
1245.0,Equinor-Volve-15/9-F-15,3.91831387067775,-5.248901506007389,30.0,1203.7332513056438,5752.29600969036,0.27116358966628,20.239408349435273,0.0,1150.4880385709757,237.662283895513
1245.5,Equinor-Volve-15/9-F-15,3.9725465886110047,-6.249751369441002,29.5,1204.4227256560093,5654.183613408575,0.27116358966628,20.217167241358972,0.0,1150.510279679052,237.662283895513
1246.0,Equinor-Volve-15/9-F-15,4.02677930654426,-5.248901506007389,29.0,1203.9556623864069,5556.07121712679,0.27116358966628,20.194926133282667,0.0,1150.5325207871283,237.662283895513
